title,category,release
Digital Devil Monogatari: Megami Tensei,Role-Playing,"Sep 11, 1987"
Digital Devil Monogatari: Megami Tensei II,Role-Playing,"Apr  6, 1990"
Dirty Harry,Action,December 1990
Disney's Aladdin,2D Platformer,1994
Disney's The Jungle Book,2D Platformer,August 1994
Dizzy the Adventurer,Adventure,1993
Dokuganryu Masamune,Strategy,"Apr  5, 1988"
Don Doko Don,2D Platformer,"Mar  9, 1990"
Don Doko Don 2,2D Platformer,"Jan 31, 1992"
Donald Land,Action,"Jan 29, 1988"
Donkey Kong,2D Platformer,June 1986
Donkey Kong 3,Action,June 1986
Donkey Kong Classics,2D Platformer,October 1988
Donkey Kong Jr.,2D Platformer,June 1986
Donkey Kong Jr. Math,Edutainment,October 1985
Door Door,Puzzle,"Jul 18, 1985"
Doraemon,Action,"Dec 12, 1986"
Doraemon: Giga Zombie no Gyakushuu,Role-Playing,"Sep 14, 1990"
Double Dare,Trivia / Game Show,April 1990
Double Dragon,Beat-'Em-Up,June 1988
Double Dragon II: The Revenge,Beat-'Em-Up,January 1990
Double Dragon III: The Sacred Stones,Beat-'Em-Up,February 1991
Double Dribble,Basketball,September 1987
Double Moon Densetsu,Role-Playing,"Oct 30, 1992"
Double Strike,Shoot-'Em-Up,1990
Dough Boy,Action,"Dec 11, 1985"
Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai,Action,"Oct 12, 1990"
Downtown Special: Kunio-kun no Jidaigeki Dayo Zenin Shuugou!,Beat-'Em-Up,"Jul 26, 1991"
Dr. Chaos,Adventure,November 1988
Dr. Jekyll and Mr. Hyde,Action,April 1989
Dr. Mario,Matching Puzzle,October 1990
Drac's Night Out,Action,Canceled
Dragon Ball 3: Gokuuden,Role-Playing,"Oct 27, 1989"
Dragon Ball Z: Kyoushuu! Saiyajin,Role-Playing,"Oct 27, 1990"
Dragon Ball Z Gaiden: Saiya-jin Zetsumetsu Keikaku,Role-Playing,"Aug  6, 1993"
Dragon Ball Z II: Gekigami Freeza!!,Role-Playing,"Aug 10, 1991"
Dragon Ball Z III: Ressen Jinzou Ningen,Role-Playing,"Aug  7, 1992"
Dragon Ball Z: Gekitou Tenkaichi Budokai,2D Fighting,"Dec 29, 1992"
Dragon Ball: Daimaou Fukkatsu,Role-Playing,"Aug 12, 1988"
Dragon Buster,Action Role-Playing,"Jan  7, 1987"
Dragon Buster II: Yami no Fuuin,Action Role-Playing,"Apr 27, 1989"
Dragon Fighter,Action,January 1992
Dragon Power,Action,March 1988
Dragon Scroll: Yomigaerishi Maryuu,Action Role-Playing,"Dec  4, 1987"
Dragon Spirit: The New Legend,Shoot-'Em-Up,June 1990
Dragon Warrior,Role-Playing,August 1989
Dragon Warrior II,Role-Playing,September 1990
Dragon Warrior III,Role-Playing,March 1992
Dragon Warrior IV,Role-Playing,October 1992
Dragon Wars,Role-Playing,"Aug  9, 1991"
Dragon's Lair,2D Platformer,December 1990
Dream Master,Role-Playing,"Sep 22, 1992"
Dropzone,Shoot-'Em-Up,1992
Duck Hunt,Light Gun Shooter,"Oct 18, 1985"
Duck Maze,Puzzle,1990
DuckTales,2D Platformer,September 1989
DuckTales 2,2D Platformer,June 1993
Dudes With Attitude,Action,1990
Dungeon Kid,Miscellaneous,"Aug 31, 1990"
Dungeon Magic: Sword of the Elements,Role-Playing,July 1990
Dusty Diamond's All-Star Softball,Baseball,July 1990
Dynamite Bowl,Bowling,"May 24, 1987"
Dynowarz: The Destruction of Spondylus,Action,April 1990
Eggerland: Meikyuu no Fukkatsu,Action,"Aug  9, 1988"
Egypt,Puzzle,"May 31, 1991"
Elevator Action,2D Platformer,August 1987
Eliminator Boat Duel,Snow / Water Racing,November 1991
Elite,Space Combat Sim,1991
Elnark no Zaihou,Action,"Aug 10, 1987"
Elysion,Action Role-Playing,"Apr 28, 1988"
Emoyan no 10-bai Pro Yakyuu,Baseball Sim,"Dec 19, 1989"
Erika to Satoru no Yume Bouken,Adventure,"Sep 27, 1988"
The Escape from Atlantis,Action,Canceled
Esper Boukentai,2D Platformer,"Oct 13, 1987"
Esper Dream 2: Aratanaru Tatakai,Action Role-Playing,"Jun 26, 1992"
Excitebike,Action,"Oct 18, 1985"
Exciting Boxing,Boxing,"Dec 16, 1987"
Exed Exes,Shoot-'Em-Up,"Dec 21, 1985"
Exerion,Shoot-'Em-Up,"Feb 11, 1985"
Exodus: Journey to the Promised Land,Puzzle,1990
Exploding Fist,2D Fighting,Canceled
F-1 Sensation,Formula One Racing,1993
F-117A Stealth Fighter,Jet Sim,December 1992
F-15 City War,Jet Sim,1990
F-15 Strike Eagle,Jet Sim,February 1992
F1 Circus,Formula One Racing,"Feb  7, 1992"
F1 Race,Formula One Racing,"Nov  2, 1984"
Famicom Doubutsu Seitai Zukan! Katte ni Shirokuma: Mori o Sukue no Maki!,Adventure,"Dec 15, 1989"
Famicom Igo Nyuumon,Board,"Nov 29, 1991"
Famicom Jump II: Saikyou no 7-nin,Action Role-Playing,"Dec  2, 1991"
Famicom Jump: Eiyuu Retsuden,Action Role-Playing,"Feb 15, 1989"
Famicom Meijinsen,Board,"Sep  2, 1988"
Famicom Shogi: Ryuu-Ou-Sen,Board,"Feb 15, 1991"
Famicom Wars,Modern Turn-Based Strategy,"Aug 12, 1988"
Famicom Yakyuuban,Baseball Sim,"Dec 15, 1989"
Family Basic,Miscellaneous,"Jun 21, 1984"
Family Basic V3,Miscellaneous,"Feb 21, 1985"
Family Circuit,Formula One Racing,"Jan  6, 1988"
Family Circuit '91,Formula One Racing,"Jul 19, 1991"
Family Feud,Trivia / Game Show,May 1991
Family Jockey,Horse Racing,"Apr 24, 1987"
Family Mahjong,Board,"Aug 11, 1987"
Family Mahjong II: Shanghai he no Michi,Board,"Nov 25, 1988"
Family Quiz: 4-nin wa Rival,Trivia / Game Show,"Nov 16, 1988"
Family Tennis,Tennis,"Dec 11, 1987"
Family Trainer: Fuuun! Takeshi Shiro 2,Sports,"Dec 20, 1988"
Family Trainer: Jogging Race,Sports,"May 28, 1987"
Family Trainer: Meiro Daisakusen,Miscellaneous,"Jul 31, 1987"
Family Trainer: Rairai Kyonshizu: Baby Kyonshii no Amida Daibouken,Miscellaneous,"Jan 26, 1989"
Family Trainer: Tostugeki! Fuuun Takeshi Shiro,Action,"Dec 28, 1987"
Famista '89: Kaimaku Han!!,Baseball Sim,"Jul 28, 1989"
Famista '90,Baseball Sim,"Dec 19, 1989"
Famista '91,Baseball Sim,"Dec 21, 1990"
Famista '92,Baseball Sim,"Dec 20, 1991"
Famista '93,Baseball Sim,"Dec 22, 1992"
Famista '94,Baseball Sim,"Dec  1, 1993"
The Fantastic Adventures of Dizzy,Adventure,1993
Fantasy Zone,Shoot-'Em-Up,"Jul 20, 1987"
Fantasy Zone (Tengen),2D Platformer,1989
Faria: A World of Mystery & Danger!,Action Role-Playing,June 1991
Faxanadu,Action Role-Playing,August 1989
Felix the Cat,2D Platformer,October 1992
Ferrari Grand Prix Challenge,Racing,June 1992
Fester's Quest,Horror Action Adventure,September 1989
Field Combat,Shoot-'Em-Up,"Jul  9, 1985"
Fighting Hero,2D Fighting,1991
Fighting Hero III,2D Fighting,1993
Fighting Road,2D Fighting,"Dec 13, 1988"
Final Combat,Action,1992
Final Fantasy,Role-Playing,May 1990
Final Fantasy I & II,Role-Playing,"Feb 27, 1994"
Final Fantasy II,Role-Playing,"Dec 17, 1988"
Final Fantasy III,Role-Playing,"Apr 27, 1990"
Final Lap,Formula One Racing,"Aug 12, 1988"
Fire 'N Ice,Puzzle,March 1993
Fire Emblem Gaiden,Fantasy Turn-Based Strategy,"Mar 14, 1992"
Fire Emblem: Ankoku Ryu to Hikari no Tsurugi,Fantasy Turn-Based Strategy,"Apr 20, 1990"
Firehawk,Action,1991
Fisher Price: Firehouse Rescue,Action,March 1992
Fisher Price: I Can Remember,Edutainment,March 1990
Fisher Price: Perfect Fit,Edutainment,March 1990
Fist of the North Star,Action,April 1989
Flappy,Puzzle,"Jun 14, 1985"
Fleet Commander,Strategy,"Mar 29, 1988"
Flight of the Intruder,Action,May 1991
The Flintstones: The Surprise at Dinosaur Peak!,2D Platformer,August 1994
The Flintstones: The Rescue of Dino & Hoppy,2D Platformer,December 1991
Flipull: An Exciting Cube Game,Puzzle,"Dec 15, 1989"
Flying Dragon: The Secret Scroll,Action,August 1989
Flying Hero,Action,"Feb 17, 1989"
Flying Warriors,Action,February 1991
Formation Z,Shoot-'Em-Up,"Apr  4, 1985"
Formula One: Built to Win,Formula One Racing,November 1990
Frankenstein: The Monster Returns,Action,July 1991
Freedom Force,Light Gun Shooter,April 1988
Friday the 13th,2D Platformer,February 1989
Frog Adventure,Action,1992
Front Line,Shoot-'Em-Up,"Aug  1, 1985"
Fun House,Action,January 1991
Funblaster Pack,Compilation,1990
Fushigi no Umi Nadia: The Secret of Blue Water,Fantasy Turn-Based Strategy,"Mar 15, 1991"
Fuzzical Fighter,Shoot-'Em-Up,"May 17, 1991"
G.I. Joe: A Real American Hero,2D Platformer,January 1991
G.I. Joe: The Atlantis Factor,2D Platformer,March 1992
Gaiapolis,Fantasy Action Adventure,1990
Galactic Crusader,Shoot-'Em-Up,1990
Galaga: Demons of Death,Shoot-'Em-Up,September 1988
Galaxian,Shoot-'Em-Up,"Sep  7, 1984"
Galaxy 5000: Racing in the 51st Century,Futuristic Racing,February 1991
Gambler Jiko Chuushinha,Board,"Nov 11, 1988"
Gambler Jiko Chuushinha 2,Board,"Dec  7, 1990"
Game Party,Compilation,"Aug  3, 1990"
Ganbare Goemon 2,Action,"Jan  4, 1989"
Ganbare Goemon Gaiden 2: Tenka no Zaihou,Role-Playing,"Jan  3, 1992"
Ganbare Goemon Gaiden: Kieta Ougon Kiseru,Role-Playing,"Jan  5, 1990"
Ganbare Goemon! Karakuri Douchuu,Action,"Jul 30, 1986"
Ganbare Pennant Race!,Baseball Sim,"Feb 28, 1989"
Garfield no Isshukan: A Week of Garfield,Action,"Apr  7, 1989"
Gargoyle's Quest II,Horror Action Adventure,October 1992
Gauntlet,Action,1987
Gauntlet II,Action,September 1990
Gegege no Kitarou 2: Youkai Gundan no Chousen,Role-Playing,"Dec 22, 1987"
Geimos,Shoot-'Em-Up,"Aug 28, 1985"
Gekitotsu Yonku Battle,Car Combat,"Nov 27, 1989"
Gemfire,Historic Turn-Based Strategy,March 1992
Genghis Khan,Historic Turn-Based Strategy,January 1990
Genpei Toumaden,Action Role-Playing,"Oct 21, 1988"
George Foreman's KO Boxing,Boxing,December 1992
Getsufuu Maden,Action Role-Playing,"Jul  7, 1987"
Ghost Lion,Role-Playing,October 1992
Ghostbusters,Action,October 1988
Ghostbusters II,Action,April 1990
Ghosts 'n Goblins,2D Platformer,November 1986
Ghoul School,Action,March 1992
Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen,Trivia / Game Show,"Dec 13, 1991"
Gimme a Break: Shijou Saikyou no Quiz Ou Ketteisen 2,Trivia / Game Show,"Aug 28, 1992"
Ginga Eiyuu Densetsu,Strategy,"Dec 21, 1988"
Ginga no Sannin,Role-Playing,"Dec 15, 1987"
Go! Benny!,Shoot-'Em-Up,1992
Goal!,Soccer Sim,October 1989
Goal! Two,Soccer,November 1992
Godzilla 2: War of the Monsters,Strategy,February 1992
Godzilla: Monster of Monsters!,Action,October 1989
Golf,Golf Sim,October 1985
The Golf '92,Golf Sim,"Jul  3, 1992"
Golf Club: Birdie Rush,Golf Sim,"Dec  9, 1987"
Golf Grand Slam,Golf Sim,December 1991
Golf-kko Open,Golf Sim,"Nov 25, 1989"
